Provinsi,Domisili,Tahun,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,Dalam,2018,1,SMA NEGERI 41,IPS,Pilihan 3,100
Jakarta,Dalam,2018,1,SMA NEGERI 42,IPA,Pilihan 1,125
Jakarta,Dalam,2018,1,SMA NEGERI 42,IPA,Pilihan 2,129
Jakarta,Dalam,2018,1,SMA NEGERI 42,IPA,Pilihan 3,106
Jakarta,Dalam,2018,1,SMA NEGERI 42,IPS,Pilihan 1,125
Jakarta,Dalam,2018,1,SMA NEGERI 42,IPS,Pilihan 2,129
Jakarta,Dalam,2018,1,SMA NEGERI 42,IPS,Pilihan 3,106
Jakarta,Dalam,2018,1,SMA NEGERI 43,IPA,Pilihan 1,84
Jakarta,Dalam,2018,1,SMA NEGERI 43,IPA,Pilihan 2,109
Jakarta,Dalam,2018,1,SMA NEGERI 43,IPA,Pilihan 3,98
Jakarta,Dalam,2018,1,SMA NEGERI 43,IPS,Pilihan 1,84
Jakarta,Dalam,2018,1,SMA NEGERI 43,IPS,Pilihan 2,109
Jakarta,Dalam,2018,1,SMA NEGERI 43,IPS,Pilihan 3,98
Jakarta,Dalam,2018,1,SMA NEGERI 44,IPA,Pilihan 1,157
Jakarta,Dalam,2018,1,SMA NEGERI 44,IPA,Pilihan 2,216
Jakarta,Dalam,2018,1,SMA NEGERI 44,IPA,Pilihan 3,134
Jakarta,Dalam,2018,1,SMA NEGERI 44,IPS,Pilihan 1,157
Jakarta,Dalam,2018,1,SMA NEGERI 44,IPS,Pilihan 2,216
Jakarta,Dalam,2018,1,SMA NEGERI 44,IPS,Pilihan 3,134
Jakarta,Dalam,2018,1,SMA NEGERI 45,IPA,Pilihan 1,115
Jakarta,Dalam,2018,1,SMA NEGERI 45,IPA,Pilihan 2,86
Jakarta,Dalam,2018,1,SMA NEGERI 45,IPA,Pilihan 3,107
Jakarta,Dalam,2018,1,SMA NEGERI 45,IPS,Pilihan 1,115
Jakarta,Dalam,2018,1,SMA NEGERI 45,IPS,Pilihan 2,86
Jakarta,Dalam,2018,1,SMA NEGERI 45,IPS,Pilihan 3,107
Jakarta,Dalam,2018,1,SMA NEGERI 46,IPA,Pilihan 1,82
Jakarta,Dalam,2018,1,SMA NEGERI 46,IPA,Pilihan 2,126
Jakarta,Dalam,2018,1,SMA NEGERI 46,IPA,Pilihan 3,106
Jakarta,Dalam,2018,1,SMA NEGERI 46,IPS,Pilihan 1,82
Jakarta,Dalam,2018,1,SMA NEGERI 46,IPS,Pilihan 2,126
Jakarta,Dalam,2018,1,SMA NEGERI 46,IPS,Pilihan 3,106
Jakarta,Dalam,2018,1,SMA NEGERI 47,IPA,Pilihan 1,275
Jakarta,Dalam,2018,1,SMA NEGERI 47,IPA,Pilihan 2,58
Jakarta,Dalam,2018,1,SMA NEGERI 47,IPA,Pilihan 3,19
Jakarta,Dalam,2018,1,SMA NEGERI 47,IPS,Pilihan 1,275
Jakarta,Dalam,2018,1,SMA NEGERI 47,IPS,Pilihan 2,58
Jakarta,Dalam,2018,1,SMA NEGERI 47,IPS,Pilihan 3,19
Jakarta,Dalam,2018,1,SMA NEGERI 48,IPA,Pilihan 1,297
Jakarta,Dalam,2018,1,SMA NEGERI 48,IPA,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 48,IPA,Pilihan 3,48
Jakarta,Dalam,2018,1,SMA NEGERI 48,IPS,Pilihan 1,297
Jakarta,Dalam,2018,1,SMA NEGERI 48,IPS,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 48,IPS,Pilihan 3,48
Jakarta,Dalam,2018,1,SMA NEGERI 49,IPA,Pilihan 1,159
Jakarta,Dalam,2018,1,SMA NEGERI 49,IPA,Pilihan 2,146
Jakarta,Dalam,2018,1,SMA NEGERI 49,IPA,Pilihan 3,114
Jakarta,Dalam,2018,1,SMA NEGERI 49,IPS,Pilihan 1,159
Jakarta,Dalam,2018,1,SMA NEGERI 49,IPS,Pilihan 2,146
Jakarta,Dalam,2018,1,SMA NEGERI 49,IPS,Pilihan 3,114
Jakarta,Dalam,2018,1,SMA NEGERI 50,IPA,Pilihan 1,113
Jakarta,Dalam,2018,1,SMA NEGERI 50,IPA,Pilihan 2,181
Jakarta,Dalam,2018,1,SMA NEGERI 50,IPA,Pilihan 3,157
Jakarta,Dalam,2018,1,SMA NEGERI 50,IPS,Pilihan 1,113
Jakarta,Dalam,2018,1,SMA NEGERI 50,IPS,Pilihan 2,181
Jakarta,Dalam,2018,1,SMA NEGERI 50,IPS,Pilihan 3,157
Jakarta,Dalam,2018,1,SMA NEGERI 51,IPA,Pilihan 1,162
Jakarta,Dalam,2018,1,SMA NEGERI 51,IPA,Pilihan 2,172
Jakarta,Dalam,2018,1,SMA NEGERI 51,IPA,Pilihan 3,215
Jakarta,Dalam,2018,1,SMA NEGERI 51,IPS,Pilihan 1,162
Jakarta,Dalam,2018,1,SMA NEGERI 51,IPS,Pilihan 2,172
Jakarta,Dalam,2018,1,SMA NEGERI 51,IPS,Pilihan 3,215
Jakarta,Dalam,2018,1,SMA NEGERI 52,IPA,Pilihan 1,209
Jakarta,Dalam,2018,1,SMA NEGERI 52,IPA,Pilihan 2,181
Jakarta,Dalam,2018,1,SMA NEGERI 52,IPA,Pilihan 3,81
Jakarta,Dalam,2018,1,SMA NEGERI 52,IPS,Pilihan 1,209
Jakarta,Dalam,2018,1,SMA NEGERI 52,IPS,Pilihan 2,181
Jakarta,Dalam,2018,1,SMA NEGERI 52,IPS,Pilihan 3,81
Jakarta,Dalam,2018,1,SMA NEGERI 53,IPA,Pilihan 1,123
Jakarta,Dalam,2018,1,SMA NEGERI 53,IPA,Pilihan 2,146
Jakarta,Dalam,2018,1,SMA NEGERI 53,IPA,Pilihan 3,113
Jakarta,Dalam,2018,1,SMA NEGERI 53,IPS,Pilihan 1,123
Jakarta,Dalam,2018,1,SMA NEGERI 53,IPS,Pilihan 2,146
Jakarta,Dalam,2018,1,SMA NEGERI 53,IPS,Pilihan 3,113
Jakarta,Dalam,2018,1,SMA NEGERI 54,IPA,Pilihan 1,121
